 NF , LCD , NucleusArea , CellArea , percentProtrusion , protrusion_extent ,NucIntegratedH,logNucbyRing488 (Yap)
1,54.615,481,1450,0,0,148819.476,-0.0996568
0.0943878,5.07975,828,6779,5.03024,0.202128,176049.36,0.347104
1,43.2526,917,2505,0,0,200465.37,-0.0340979
1,38.2263,606,1719,0,0,145935.102,0.141062
0.153226,7.35132,209,1276,9.56113,0.372727,75223.071,0.261646
0.276316,18.0148,397,3327,7.60445,0.330317,102537.954,0.311567
0.576389,19.4856,434,3631,24.5387,0.461538,94481.8,0.121051
0.167464,13.9412,300,2897,0,0.0597015,99653.4,0.449115
0.707692,22.8258,445,4507,16.2636,0.404348,188996.84,0.272429
0.764228,14.7362,180,2511,17.4831,0.410811,75982.86,0.296185
0,5.0015,258,1981,23.2711,0.559055,85399.806,0.32151
0.669388,26.3227,506,3986,7.70196,0.18552,142740.576,0.365961
0.649425,25.0941,326,2343,10.542,0.348101,65489.488,0.339124
0.798283,39.4166,408,2241,0,0.0544554,73993.248,0.281071
0.636704,21.561,432,3812,8.15845,0.320346,78221.376,0.40737
0.866029,25.8866,375,2403,0,0.199005,71178.75,0.257646
0.512315,19.1241,331,2376,15.0253,0.308571,59959.657,0.178535
0.211679,9.34667,462,3691,20.0217,0.471861,197336.832,0.195456
0.18705,9.49217,453,3730,24.7453,0.650273,165473.199,0.157919
0.222513,8.49113,586,6645,20.2558,0.568773,179123.206,0.179626
0.455128,13.3905,563,4874,27.1851,0.768559,183139.396,0.0423757
0.368217,12.6711,493,3080,19.2208,0.451977,197221.199,0.0536672
0.268966,10.6621,547,5160,26.686,0.766355,203773.363,0.184274
0.745033,26.2261,556,4476,8.31099,0.164794,190741.916,0.165873
0.437722,14.339,448,5404,26.2953,0.692308,203521.024,0.236312
0.790404,20.3832,513,5334,17.9978,0.265781,186697.629,-0.04439
0.612457,13.43,507,4382,15.1301,0.597656,194011.155,0.151548
0.632,27.0783,396,1104,0,0,98328.78,0.42383
0.793011,20.1288,523,7213,16.193,0.42,155336.753,0.155398
0.692308,16.0953,606,4366,11.5437,0.548936,226358.574,0.304736
0.245902,10.01,472,3002,14.7901,0.419355,203732.192,0.0673366
0.784038,38.432,518,2908,13.6864,0.231156,137711.854,0.0919378
0.740196,35.8938,507,2623,9.2642,0.318436,144053.403,0.164017
0.929688,67.8426,327,1348,0,0,95273.412,0.00345953
0.409756,18.3251,339,3046,6.76297,0.266667,89198.019,0.343887
1,57.4713,331,1723,10.7951,0.148148,94753.053,0.185176
1,59.9161,407,1592,0,0,71489.55,-0.00247604
0.568966,21.7439,406,2071,18.3003,0.25,82316.906,0.194801
0.622093,28.169,434,2161,2.31374,0.153846,97886.096,0.0975029
